
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  1.05E-006  1.505E-006 4.535E-009 6.505E-009
l3197625                 7.526      1.045          0          0         0         0
l2917333                 7.609      1.057          0          0         0         0
n1140516                 7.466      1.037          0          0         0         0
m1209748                 7.556       1.05          0          0         0         0
l3142099                 7.556       1.05          0          0         0         0
l2898457                 7.559       1.05          0          0         0         0
m1166376                 7.609      1.057    0.01721     0.2261   0.02448    0.3217
l2842384                 7.609      1.057    0.01723     0.2264   0.02454    0.3226
l2763407                 7.496      1.041          0          0         0         0
d6023352-1_int           7.608      1.057    0.01702     0.2237   0.02393    0.3145
m1047750                 7.429      1.032          0          0         0         0
l2708293                 7.429      1.032          0          0         0         0
l3176656                 7.459      1.036          0          0         0         0
m1047548                 7.479      1.039     0.1633      2.184     0.133     1.778
m1089185                 7.602      1.056    0.03523     0.4635    0.1093     1.438
l2748781                 7.526      1.045          0          0         0         0
m1026695                 7.408      1.029     0.1302      1.757    0.1701     2.296
n1140818                 7.406      1.029     0.1299      1.754    0.1705     2.302
l2860501                 7.253      1.007          0          0         0         0
m1209800                 7.584      1.053    0.01203     0.1586   0.02156    0.2843
l2839332                 7.594      1.055          0          0         0         0
l2954353                 7.522      1.045          0          0         0         0
l2726974                 7.411      1.029          0          0         0         0
l2785527                  7.79      1.082          0          0         0         0
l2766729                  7.79      1.082          0          0         0         0
m1069376                 7.582      1.053      0.185       2.44    0.1038     1.369
m1027005                 7.206      1.001          0          0         0         0
l3176660                 7.452      1.035          0          0         0         0
m1125943                 7.681      1.067          0          0         0         0
m1026874                 7.498      1.041          0          0         0         0
m1125969                 7.619      1.058    0.02905     0.3812   0.08276     1.086
l2673343                 7.217      1.002          0          0         0         0
l2764436                 7.217      1.002          0          0         0         0
d5565090-1_int           7.612      1.057          0          0         0         0
l3029495                 7.613      1.057          0          0         0         0
n1134479                  7.53      1.046     0.1189      1.579      0.14     1.859
l2823592                 7.582      1.053      0.012     0.1583   0.02074    0.2735
l2933164                 7.659      1.064    0.01973     0.2576   0.04153    0.5422
l2992624                 7.613      1.057    0.01752     0.2301   0.02816    0.3698
l3232301                 7.544      1.048          0          0         0         0
m1010017                 7.694      1.069          0          0         0         0
l2858175                 7.694      1.069          0          0         0         0
m1009820                 7.479      1.039          0          0         0         0
l3045895                 7.579      1.053          0          0         0         0
l2841618                 7.658      1.064          0          0         0         0
m1209817                 7.574      1.052    0.01034     0.1365   0.01264    0.1668
l2785547                 7.455      1.035          0          0         0         0
221-311595               7.547      1.048          0          0         0         0
f739841                  7.528      1.046          0          0         0         0
l0247160                 7.528      1.046          0          0         0         0
l3122823                 7.687      1.068          0          0         0         0
l3048966                 7.616      1.058          0          0         0         0
m1142810                  7.61      1.057    0.01783     0.2344   0.02875    0.3778
m1027109                 7.701       1.07          0          0         0         0
l3101788                 7.701       1.07          0          0         0         0
p903490                  7.673      1.066          0          0         0         0
l2916603                 7.201          1          0          0         0         0
l3160106                 7.358      1.022          0          0         0         0
d5563942-4_int           7.612      1.057     0.0178     0.2338   0.02635    0.3462
q16483                   7.612      1.057    0.01781      0.234   0.02637    0.3465
m1069514                 7.528      1.046     0.1177      1.564     0.152     2.019
p850083                  7.602      1.056    0.03523     0.4635    0.1093     1.438
l3178988                 7.456      1.036          0          0         0         0
l3010568                 7.539      1.047          0          0         0         0
m1026356                 7.877      1.094    0.06395     0.8118    0.1365     1.732
l2989600                 7.607      1.057          0          0         0         0
m1026487                 7.525      1.045          0          0         0         0
m1069348                  7.55      1.049          0          0         0         0
l2804248                 7.207      1.001          0          0         0         0
l2729413                 7.483      1.039          0          0         0         0
l2673314                 7.519      1.044          0          0         0         0
l2785528                  7.57      1.051          0          0         0         0
l2897773                 7.469      1.037          0          0         0         0
l3010567                  7.54      1.047          0          0         0         0
l2991917                 7.675      1.066          0          0         0         0
l2766730                 7.496      1.041          0          0         0         0
m1166407                 7.443      1.034          0          0         0         0
m1008753                 7.619      1.058          0          0         0         0
m1047419                 7.314      1.016          0          0         0         0
m1089207                 7.525      1.045     0.1136       1.51    0.1113     1.479
m1047572                 7.471      1.038     0.1645      2.202    0.1324     1.772
m1108329                 7.579      1.053          0          0         0         0
n1138599                 7.583      1.053      0.185       2.44    0.1033     1.362
l3217057                 7.604      1.056          0          0         0         0
193-103041               7.453      1.035          0          0         0         0
l2785515                 7.458      1.036          0          0         0         0
m1069206                 7.532      1.046          0          0         0         0
l2729424                 7.508      1.043          0          0         0         0
l2917359                 7.623      1.059          0          0         0         0
m3037538                 7.477      1.039          0          0         0         0
l3027133                 7.477      1.039          0          0         0         0
l3197627                 7.481      1.039          0          0         0         0
m1069187                 7.596      1.055          0          0         0         0
l2748129                 7.596      1.055          0          0         0         0
d6290228-6_int           7.528      1.046     0.1174      1.559    0.1541     2.048
q16642                   7.528      1.046     0.1174      1.559    0.1542     2.048
n1136657                 7.528      1.046     0.1176      1.563    0.1524     2.024
l3027671                 7.531      1.046          0          0         0         0
m1108423                  7.53      1.046          0          0         0         0
n1136665                 7.522      1.045          0          0         0         0
l2710532                 7.346       1.02          0          0         0         0
l2785526                 7.694      1.069          0          0         0         0
l2857591                 7.477      1.039          0          0         0         0
l2841630                 7.564      1.051          0          0         0         0
l3312692                 7.687      1.068          0          0         0         0
m1069495                 7.528      1.046     0.1171      1.556    0.1308     1.737
l3179678                 7.637      1.061    0.01921     0.2515   0.03922    0.5135
m1149225                 7.575      1.052          0          0         0         0
r42246                   7.528      1.046     0.1173      1.559    0.1543      2.05
l3632979                 7.675      1.066          0          0         0         0
p841985                  7.547      1.048          0          0         0         0
l3104796                 7.673      1.066          0          0         0         0
n1141476                 7.636      1.061          0          0         0         0
l2785519                 7.595      1.055          0          0         0         0
l3104122                 7.595      1.055          0          0         0         0
l3197618                 7.467      1.037          0          0         0         0
e192258                   7.59      1.054    0.01415     0.1864   0.01923    0.2534
d5534970-1_int           7.436      1.033     0.1402      1.885    0.1557     2.094
l2841633                 7.442      1.034     0.1421      1.909    0.1531     2.058
l3254206                  7.46      1.036          0          0         0         0
n1145954                 7.864      1.092    0.05398     0.6865    0.1191     1.514
p827580                  7.864      1.092    0.05398     0.6865    0.1191     1.514
l2955074                 7.613      1.057    0.01752     0.2302   0.02653    0.3485
l2970845                 7.574      1.052          0          0         0         0
l3010585                 7.471      1.038          0          0         0         0
l2861219                 7.582      1.053          0          0         0         0
l3104135                 7.842      1.089          0          0         0         0
l3254203                 7.193     0.9991          0          0         0         0
l2954352                 7.564      1.051          0          0         0         0
m1047400                 7.306      1.015          0          0         0         0
l2842379                 7.635      1.061          0          0         0         0
l2916617                 7.423      1.031          0          0         0         0
n1136670                 7.478      1.039     0.1635      2.187    0.1329     1.777
l2766727                 7.685      1.067          0          0         0         0
l2727019                 7.608      1.057          0          0         0         0
l2801909                 7.574      1.052    0.01042     0.1376   0.01305    0.1723
m1047831                  7.19     0.9987          0          0         0         0
l2748131                 7.229      1.004          0          0         0         0
l2729427                 7.227      1.004          0          0         0         0
l2766717                 7.551      1.049          0          0         0         0
l2879064                 7.608      1.057          0          0         0         0
l3195318                 7.434      1.033          0          0         0         0
l3254204                 7.552      1.049          0          0         0         0
l2973148                 7.531      1.046          0          0         0         0
l2801902                 7.429      1.032          0          0         0         0
l2748146                 7.599      1.055          0          0         0         0
n1139549                 7.335      1.019          0          0         0         0
n1138593                 7.488       1.04          0          0         0         0
l3197624                 7.193     0.9991          0          0         0         0
m1069558                 7.457      1.036          0          0         0         0
l3197654                 7.486       1.04          0          0         0         0
l2710505                  7.19     0.9987          0          0         0         0
l2879065                 7.536      1.047          0          0         0         0
m1166358                 7.618      1.058          0          0         0         0
l2898522                 7.607      1.057          0          0         0         0
l2992556                 7.514      1.044          0          0         0         0
196-35813                7.486       1.04     0.1582      2.114    0.1317     1.759
l3064514                 7.437      1.033          0          0         0         0
l3141402                 7.335      1.019          0          0         0         0
l2859391                 7.496      1.041          0          0         0         0
l2860489                 7.836      1.088          0          0         0         0
m1026989                 7.217      1.002          0          0         0         0
m1209752                 7.556       1.05          0          0         0         0
l2710514                 7.243      1.006          0          0         0         0
l2726975                 7.184     0.9979          0          0         0         0
l3649306                 7.492      1.041          0          0         0         0
l2767407                 7.577      1.052          0          0         0         0
l2730107                 7.494      1.041          0          0         0         0
m4113347                 7.598      1.055     0.1858      2.445   0.09555     1.258
l3216339                 7.612      1.057          0          0         0         0
d5472341-1_int           7.527      1.045          0          0         0         0
f739842                  7.527      1.045          0          0         0         0
l2897792                 7.495      1.041          0          0         0         0
m1026800                 7.466      1.037     0.1509      2.022    0.1409     1.888
m1026797                 7.462      1.037     0.1498      2.007    0.1425      1.91
l2729407                 7.544      1.048          0          0         0         0
l3342743                 7.456      1.036          0          0         0         0
l3122818                 7.515      1.044          0          0         0         0
m1047430                 7.324      1.017          0          0         0         0
l3048203                 7.225      1.004          0          0         0         0
l2936276                  7.56       1.05          0          0         0         0
l2860499                 7.458      1.036          0          0         0         0
p827564                   7.55      1.049          0          0         0         0
l3030205                 7.618      1.058          0          0         0         0
l3008248                 7.697      1.069          0          0         0         0
l2804250                 7.542      1.048          0          0         0         0
l2954354                 7.799      1.083          0          0         0         0
l2673321                 7.799      1.083          0          0         0         0
l3197634                  7.55      1.049          0          0         0         0
l3141389                 7.467      1.037          0          0         0         0
l2935559                 7.827      1.087          0          0         0         0
p895087                  7.531      1.046          0          0         0         0
l3254217                 7.468      1.037     0.1518      2.033    0.1397     1.871
l3101782                 7.526      1.045          0          0         0         0
l2745799                 7.502      1.042          0          0         0         0
l3082983                 7.436      1.033          0          0         0         0
l2691966                 7.447      1.034          0          0         0         0
n1136368                 7.495      1.041          0          0         0         0
l3197642                 7.337      1.019          0          0         0         0
l2973157                 7.314      1.016          0          0         0         0
l2935550                 7.508      1.043          0          0         0         0
d5865224-1_int           7.528      1.046          0          0         0         0
l3066821                 7.448      1.034          0          0         0         0
m1009691                 7.448      1.034          0          0         0         0
l3178975                 7.233      1.005          0          0         0         0
m1069518                 7.528      1.046     0.1184      1.573     0.148     1.966
l2916618                  7.41      1.029          0          0         0         0
l2710515                  7.66      1.064          0          0         0         0
l3235258                  7.43      1.032      0.138      1.858    0.1588     2.137
l3141395                   7.5      1.042          0          0         0         0
n1136997                 7.448      1.035          0          0         0         0
l3104123                 7.448      1.035          0          0         0         0
190-7361                 7.515      1.044    0.02247     0.2991   0.04706    0.6262
l3645812                 7.454      1.035          0          0         0         0
228-1353934-4_int        7.454      1.035          0          0         0         0
l3254214                 7.451      1.035          0          0         0         0
d5686080-1_int           7.864      1.092    0.05398     0.6865    0.1191     1.514
l2766749                 7.545      1.048     0.1766      2.341    0.1074     1.423
l2692660                  7.61      1.057          0          0         0         0
l2955076                  7.61      1.057          0          0         0         0
m1125979                 7.673      1.066          0          0         0         0
l3160114                 7.508      1.043          0          0         0         0
l3235245                 7.468      1.037          0          0         0         0
m1026876                 7.508      1.043     0.1612      2.147    0.1735     2.311
l2785535                 7.407      1.029          0          0         0         0
l2973150                 7.491       1.04          0          0         0         0
l3160113                 7.412      1.029          0          0         0         0
l2710518                 7.358      1.022          0          0         0         0
l3195310                 7.827      1.087          0          0         0         0
l3142098                 7.574      1.052          0          0         0         0
m1026784                 7.409      1.029          0          0         0         0
l2897771                 7.574      1.052          0          0         0         0
l2917255                 7.673      1.066          0          0         0         0
l3254215                 7.526      1.045          0          0         0         0
l2989571                 7.689      1.068          0          0         0         0
l3179699                 7.437      1.033          0          0         0         0
l3029507                 7.685      1.067          0          0         0         0
l2748124                  7.18     0.9973          0          0         0         0
d5958866-1_int           7.615      1.058    0.01768     0.2322   0.03255    0.4275
l2861218                 7.614      1.058    0.01766     0.2319   0.03096    0.4066
l0247162                 7.527      1.045          0          0         0         0
l2935552                 7.579      1.053          0          0         0         0
l3216350                 7.358      1.022          0          0         0         0
l3197660                  7.21      1.002          0          0         0         0
m1026880                 7.499      1.042          0          0         0         0
l2822860                 7.192      0.999          0          0         0         0
l3101787                   7.7       1.07          0          0         0         0
l3027132                   7.7       1.07          0          0         0         0
l3179673                 7.633       1.06          0          0         0         0
l2879092                 7.333      1.018          0          0         0         0
l2803199                 7.605      1.056    0.03525     0.4635    0.1092     1.436
l3254208                 7.462      1.037          0          0         0         0
m1027014                 7.657      1.063          0          0         0         0
m1047433                 7.327      1.018          0          0         0         0
l2991905                 7.653      1.063          0          0         0         0
l2935560                 7.348      1.021          0          0         0         0
l3085400                 7.526      1.045          0          0         0         0
l2764403                 7.478      1.039          0          0         0         0
m1108535                 7.503      1.042      0.106      1.413   0.07255     0.967
l2785521                 7.455      1.036          0          0         0         0
l3216988                 7.609      1.057          0          0         0         0
l3649305                 7.491       1.04          0          0         0         0
l2983432                 7.474      1.038          0          0         0         0
l3315860                 7.458      1.036          0          0         0         0
m1125966                  7.61      1.057          0          0         0         0
l2729423                 7.593      1.055          0          0         0         0
d6140776-1_int           7.435      1.033          0          0         0         0
l2673307                 7.467      1.037          0          0         0         0
l2685809                 7.522      1.045          0          0         0         0
l3254209                 7.468      1.037          0          0         0         0
l2860477                 7.467      1.037          0          0         0         0
p827548                  7.495      1.041          0          0         0         0
l3048946                 7.615      1.058          0          0         0         0
l2839331                 7.722      1.073          0          0         0         0
l2973180                 7.446      1.034          0          0         0         0
l3066806                 7.507      1.043          0          0         0         0
l2785529                 7.481      1.039          0          0         0         0
l3177894                 7.688      1.068          0          0         0         0
l2731712                 7.736      1.075          0          0         0         0
l2917310                 7.574      1.052          0          0         0         0
d5682346-3_int           7.531      1.046     0.1194      1.586     0.141     1.872
l3085394                 7.548      1.048          0          0         0         0
l3236004                  7.67      1.065          0          0         0         0
l2879066                 7.224      1.003          0          0         0         0
l3048214                 7.827      1.087          0          0         0         0
l3120504                  7.69      1.068          0          0         0         0
p827537                  7.368      1.023          0          0         0         0
228-979371-2_int         7.544      1.048          0          0         0         0
l2785543                 7.736      1.074          0          0         0         0
m1047837                 7.193     0.9991          0          0         0         0
l2916602                 7.531      1.046          0          0         0         0
d6140778-1_int            7.69      1.068          0          0         0         0
l2766748                 7.499      1.042          0          0         0         0
regxfmr_190-8581         7.643      1.062    0.03968     0.5191    0.1423     1.861
l3104129                 7.548      1.048          0          0         0         0
m1027110                 7.694      1.069          0          0         0         0
l3047058                 7.444      1.034          0          0         0         0
l2801949                 7.736      1.075          0          0         0         0
l2710525                 7.508      1.043          0          0         0         0
l3197640                 7.446      1.034          0          0         0         0
l3010561                 7.589      1.054          0          0         0         0
l3141390                 7.619      1.058          0          0         0         0
d5746546-1_int           7.466      1.037          0          0         0         0
d5956499-2_int           7.547      1.048      0.177      2.345    0.1073     1.422
l2823592_cap             7.582      1.053    0.01201     0.1584   0.02075    0.2737
q16642_cap               7.528      1.046     0.1174      1.559    0.1542     2.048
q16483_cap               7.612      1.057    0.01782     0.2342   0.02639    0.3467
hvmv_sub_hsb             69.72       1.05    0.01549    0.02222 4.535E-009 6.504E-009
regxfmr_hvmv_sub_lsb     7.573      1.052    0.01017     0.1343   0.01196    0.1579
x2804253a                0.126      1.049          0          0         0         0
x3254213b               0.1282      1.068          0          0         0         0
x3216339b               0.1261       1.05          0          0         0         0
x2954355a                0.122      1.016          0          0         0         0
x2861197c               0.1271      1.058          0          0         0         0
x2842379a               0.1266      1.054          0          0         0         0
x2841636b               0.1273       1.06          0          0         0         0
x3047289a               0.1277      1.063          0          0         0         0
x3047289b               0.1262      1.051          0          0         0         0
x3047289c               0.1273       1.06          0          0         0         0
x3085399c               0.1246      1.038          0          0         0         0
x3085391b               0.1248      1.039          0          0         0         0
x2897778a               0.1298      1.081          0          0         0         0
x3197647a               0.1232      1.026          0          0         0         0
x2936275b               0.1252      1.043          0          0         0         0
x2729408b               0.1251      1.042          0          0         0         0
x2673310a               0.1259      1.048          0          0         0         0
x3048212a               0.1239      1.032          0          0         0         0
x3104133a               0.1293      1.077          0          0         0         0
x2879087a                0.124      1.032          0          0         0         0
x2710510c               0.1273       1.06          0          0         0         0
x3122810b               0.1192     0.9925          0          0         0         0
x2954352c               0.1253      1.043          0          0         0         0
x2729411a               0.1285       1.07          0          0         0         0
x3178971a               0.1231      1.025          0          0         0         0
x3254234b               0.1238      1.031          0          0         0         0
x_293471a               0.1301      1.084          0          0         0         0
x_293471b               0.1281      1.067          0          0         0         0
x_293471c               0.1327      1.105          0          0         0         0
x2860482a               0.1252      1.043          0          0         0         0
x2763811c               0.1249       1.04          0          0         0         0
x3251799a               0.1257      1.047          0          0         0         0
x2898526c               0.1262      1.051          0          0         0         0
x2897780b               0.1271      1.058          0          0         0         0
x3027124c               0.1234      1.027          0          0         0         0
x2954361b               0.1227      1.022          0          0         0         0
x2745811c               0.1234      1.027          0          0         0         0
x2841633a               0.1232      1.026          0          0         0         0
x2917359a               0.1264      1.052          0          0         0         0
x2748158a               0.1294      1.077          0          0         0         0
x2955047a                0.125      1.041          0          0         0         0
x3122837c               0.1244      1.036          0          0         0         0
x2804269b               0.1228      1.022          0          0         0         0
x3157708c               0.1233      1.027          0          0         0         0
x3179682c               0.1262      1.051          0          0         0         0
x2822877b                0.125      1.041          0          0         0         0
x3141393c               0.1252      1.043          0          0         0         0
x2897801a                0.127      1.057          0          0         0         0
x3217056a               0.1261       1.05          0          0         0         0
x2936270a               0.1261       1.05          0          0         0         0
x3235249a               0.1238      1.031          0          0         0         0
x3217052c               0.1264      1.053          0          0         0         0
x2916598a               0.1239      1.032          0          0         0         0
x3048206a               0.1266      1.054          0          0         0         0
x3141402c               0.1215      1.011          0          0         0         0
x3235256a               0.1275      1.062          0          0         0         0
x3178973a               0.1235      1.028          0          0         0         0
x3197654a               0.1241      1.033          0          0         0         0
x3066809c               0.1236      1.029          0          0         0         0
x2766742b                0.124      1.032          0          0         0         0
x2991908a               0.1235      1.028          0          0         0         0
x3065750b               0.1189     0.9897          0          0         0         0
x3085401a               0.1248      1.039          0          0         0         0
x2729413a                0.124      1.033          0          0         0         0
x3254915b               0.1256      1.046          0          0         0         0
x2748131b               0.1197     0.9968          0          0         0         0
x3066810c               0.1242      1.035          0          0         0         0
x2973146b               0.1234      1.027          0          0         0         0
x2973180b               0.1233      1.027          0          0         0         0
x2973167b               0.1242      1.034          0          0         0         0
x2841621c               0.1236      1.029          0          0         0         0
x3123509c                0.126      1.049          0          0         0         0
x2841627a               0.1211      1.008          0          0         0         0
x3235250b                0.124      1.032          0          0         0         0
x3728037a               0.1247      1.038          0          0         0         0
x3142078b               0.1231      1.025          0          0         0         0
x2879066b               0.1196     0.9961          0          0         0         0
x3235254c               0.1236       1.03          0          0         0         0
x2917330a               0.1263      1.052          0          0         0         0
x2914323b               0.1242      1.034          0          0         0         0
x3197640c               0.1233      1.027          0          0         0         0
x3179673c               0.1264      1.053          0          0         0         0
x3048228c               0.1245      1.036          0          0         0         0
x3104126c                0.125      1.041          0          0         0         0
x2990098a               0.1248       1.04          0          0         0         0
x2879067a               0.1231      1.025          0          0         0         0
x3176656a               0.1236      1.029          0          0         0         0
x2710532c               0.1216      1.013          0          0         0         0
x3160115b               0.1235      1.029          0          0         0         0
x3103822c               0.1234      1.028          0          0         0         0
x2805034a               0.1262      1.051          0          0         0         0
x3157167a               0.1249       1.04          0          0         0         0
x2916620a               0.1243      1.035          0          0         0         0
x2916620b               0.1243      1.035          0          0         0         0
x2916620c               0.1257      1.046          0          0         0         0
x3027132a               0.1277      1.063          0          0         0         0
x2822862c               0.1243      1.035          0          0         0         0
x2937757c               0.1242      1.034          0          0         0         0
x2860483b               0.1196     0.9961          0          0         0         0
x3048210a               0.1299      1.081          0          0         0         0
x3312692a               0.1274      1.061          0          0         0         0
x3251854a               0.1244      1.036          0          0         0         0
x3085398b               0.1249       1.04          0          0         0         0
x3254207a                0.127      1.057          0          0         0         0
x2729424a               0.1244      1.036          0          0         0         0
x3066816a               0.1219      1.015          0          0         0         0
x2785518c               0.1251      1.041          0          0         0         0
x3029503c               0.1251      1.041          0          0         0         0
x2748140a               0.1234      1.028          0          0         0         0
x2891575c               0.1231      1.025          0          0         0         0
x2842329c               0.1271      1.058          0          0         0         0
x3254212b               0.1254      1.044          0          0         0         0
x3198348a               0.1261       1.05          0          0         0         0
x3178979c               0.1233      1.027          0          0         0         0
x2879054a               0.1277      1.063          0          0         0         0
x3085388b               0.1262      1.051          0          0         0         0
x2991914c               0.1232      1.026          0          0         0         0
x2785534b               0.1241      1.033          0          0         0         0
x3122835b               0.1231      1.025          0          0         0         0
x3085395a               0.1269      1.057          0          0         0         0
x2879064a               0.1261       1.05          0          0         0         0
x3066814b               0.1242      1.035          0          0         0         0
x2821087a               0.1249       1.04          0          0         0         0
x2860479b               0.1235      1.028          0          0         0         0
x3728042a               0.1247      1.038          0          0         0         0
x2935557a               0.1243      1.035          0          0         0         0
x2822864c                0.125      1.041          0          0         0         0
x3235247a               0.1272      1.059          0          0         0         0
x3251807a               0.1275      1.062          0          0         0         0
x2804282c               0.1236      1.029          0          0         0         0
x2935560c               0.1217      1.013          0          0         0         0
x3104145b               0.1231      1.025          0          0         0         0
x3086078a               0.1261       1.05          0          0         0         0
x2860477a               0.1238      1.031          0          0         0         0
x3645811c               0.1234      1.028          0          0         0         0
x3102793b               0.1229      1.024          0          0         0         0
x2991910b               0.1243      1.035          0          0         0         0
x2710511a                0.124      1.032          0          0         0         0
x2860486c               0.1247      1.038          0          0         0         0
x2935551c               0.1236       1.03          0          0         0         0
x2729409b               0.1234      1.027          0          0         0         0
x2973833b               0.1256      1.045          0          0         0         0
x2897769c               0.1242      1.034          0          0         0         0
x3216368c               0.1217      1.013          0          0         0         0
x2860490a                0.128      1.066          0          0         0         0
x2861158c               0.1232      1.026          0          0         0         0
x3141399c               0.1246      1.038          0          0         0         0
x3122816b               0.1255      1.045          0          0         0         0
x2992556c               0.1245      1.036          0          0         0         0
x2897779c               0.1333       1.11          0          0         0         0
x2970811a               0.1276      1.063          0          0         0         0
x2991933c               0.1244      1.036          0          0         0         0
x2729428a               0.1218      1.014          0          0         0         0
x3254216a               0.1211      1.008          0          0         0         0
x2897807b               0.1247      1.038          0          0         0         0
x2898522a               0.1261       1.05          0          0         0         0
x3048230c               0.1326      1.105          0          0         0         0
x3195327a               0.1276      1.063          0          0         0         0
x3047058a               0.1234      1.027          0          0         0         0
x2673313b               0.1282      1.068          0          0         0         0
x3649302a               0.1242      1.034          0          0         0         0
x3729297a               0.1248      1.039          0          0         0         0
x2858163a               0.1234      1.028          0          0         0         0
x3214112b               0.1234      1.028          0          0         0         0
x2685805a               0.1242      1.034          0          0         0         0
x2991912a               0.1277      1.063          0          0         0         0
x3140238a               0.1277      1.064          0          0         0         0
x3066830b               0.1194     0.9942          0          0         0         0
x3160878c               0.1258      1.048          0          0         0         0
x2916609c               0.1251      1.042          0          0         0         0
x2876814a               0.1241      1.033          0          0         0         0
x3197646b               0.1247      1.038          0          0         0         0
x2973151a               0.1259      1.049          0          0         0         0
x3197627c               0.1239      1.032          0          0         0         0
x2764412a               0.1279      1.065          0          0         0         0
x2766716c               0.1237       1.03          0          0         0         0
x2991917b               0.1272      1.059          0          0         0         0
x3254229b               0.1235      1.029          0          0         0         0
x2935556b               0.1265      1.053          0          0         0         0
x3197660b               0.1194     0.9942          0          0         0         0
x2989565a               0.1268      1.056          0          0         0         0
x3645809c               0.1234      1.028          0          0         0         0
x3086075b               0.1252      1.042          0          0         0         0
x3122824a               0.1299      1.082          0          0         0         0
x3216338b               0.1234      1.027          0          0         0         0
x2729405b               0.1232      1.026          0          0         0         0
x2823545a               0.1247      1.039          0          0         0         0
x2916610b               0.1242      1.034          0          0         0         0
x3177665a               0.1252      1.043          0          0         0         0
x2803199a               0.1248       1.04          0          0         0         0
x2803199b               0.1258      1.048          0          0         0         0
x2803199c               0.1274      1.061          0          0         0         0
x2691952a               0.1219      1.015          0          0         0         0
x2748144a               0.1245      1.037          0          0         0         0
x3029504b               0.1236      1.029          0          0         0         0
x3197635b                0.124      1.032          0          0         0         0
x2724120c               0.1251      1.041          0          0         0         0
x3235244a               0.1269      1.057          0          0         0         0
x2804254a               0.1231      1.025          0          0         0         0
x2820531b               0.1244      1.036          0          0         0         0
x3254214b               0.1234      1.028          0          0         0         0
x2691966b               0.1233      1.027          0          0         0         0
x3122822a                0.122      1.016          0          0         0         0
x3197639a               0.1216      1.013          0          0         0         0
x3120503a               0.1275      1.062          0          0         0         0
x3216349b               0.1233      1.027          0          0         0         0
x3027670b               0.1258      1.048          0          0         0         0
x3085392c               0.1238      1.031          0          0         0         0
x3010556a               0.1262      1.051          0          0         0         0
x3232902a               0.1251      1.042          0          0         0         0
x3101782a               0.1247      1.039          0          0         0         0
x2766715b               0.1236      1.029          0          0         0         0
x2970804c                0.123      1.024          0          0         0         0
x3178975b               0.1198     0.9973          0          0         0         0
x2841648a               0.1211      1.009          0          0         0         0
x3029497c               0.1238      1.031          0          0         0         0
x3029520b               0.1235      1.028          0          0         0         0
x2766744b               0.1282      1.067          0          0         0         0
x3029518b               0.1247      1.038          0          0         0         0
x2936214a               0.1251      1.041          0          0         0         0
x2954346b               0.1191     0.9915          0          0         0         0
x2879061b               0.1244      1.036          0          0         0         0
x3141394b               0.1236      1.029          0          0         0         0
x3142098b               0.1255      1.045          0          0         0         0
x3645812c               0.1234      1.028          0          0         0         0
x2916627a               0.1259      1.048          0          0         0         0
x3066815c               0.1234      1.027          0          0         0         0
